No.,County,Cases,Fatalities
65.0,Harris,1809,22
35.0,Dallas,1155,18
141.0,Travis,502,6
9.0,Bexar,456,12
136.0,Tarrant,452,13
38.0,Denton,337,7
49.0,Fort Bend,318,6
27.0,Collin,306,4
52.0,Galveston,256,1
98.0,Lubbock,180,6
12.0,Brazoria,167,1
110.0,Montgomery,161,3
43.0,El Paso,125,0
152.0,Webb,122,6
70.0,Hidalgo,113,0
20.0,Cameron,101,1
13.0,Brazos,94,7
156.0,Williamson,81,3
79.0,Jefferson,78,4
8.0,Bell,68,2
133.0,Smith,63,1
116.0,Nueces,59,0
67.0,Hays,59,0
104.0,McLennan,56,1
148.0,Victoria,50,0
154.0,Wichita,48,0
124.0,Potter,41,1
60.0,Guadalupe,39,0
102.0,Matagorda,37,3
125.0,Randall,36,1
44.0,Ellis,35,2
137.0,Taylor,31,1
42.0,Ector,30,0
64.0,Hardin,28,1
106.0,Midland,27,1
118.0,Orange,26,0
140.0,Tom Green,24,0
81.0,Johnson,24,1
29.0,Comal,22,2
151.0,Washington,21,1
113.0,Nacogdoches,21,2
58.0,Gregg,20,0
11.0,Bowie,17,1
24.0,Chambers,17,0
153.0,Wharton,17,0
7.0,Bastrop,15,1
3.0,Angelina,14,0
57.0,Grayson,14,0
83.0,Kaufman,14,0
132.0,Shelby,13,0
18.0,Calhoun,12,0
94.0,Liberty,12,0
128.0,Rusk,12,0
150.0,Waller,11,0
66.0,Harrison,11,1
127.0,Rockwall,11,0
31.0,Coryell,11,0
23.0,Castro,10,1
149.0,Walker,10,0
2.0,Andrews,10,0
73.0,Hood,10,1
72.0,Hockley,10,1
56.0,Gray,9,0
84.0,Kendall,9,0
48.0,Fayette,9,0
123.0,Polk,8,0
45.0,Erath,8,1
40.0,Donley,7,0
111.0,Moore,7,0
39.0,DeWitt,7,0
134.0,Starr,7,0
37.0,Deaf Smith,7,0
61.0,Hale,7,0
157.0,Wilson,7,0
121.0,Parker,6,0
95.0,Limestone,6,1
105.0,Medina,6,0
25.0,Cherokee,6,0
14.0,Brown,6,0
88.0,Lamar,6,0
6.0,Austin,6,0
146.0,Val Verde,6,0
155.0,Willacy,5,1
15.0,Burleson,5,0
16.0,Burnet,5,0
36.0,Dawson,5,1
17.0,Caldwell,5,0
71.0,Hill,5,0
103.0,Maverick,5,0
145.0,Uvalde,5,0
147.0,Van Zandt,5,1
144.0,Upshur,5,0
114.0,Navarro,4,0
10.0,Blanco,4,0
22.0,Cass,4,0
59.0,Grimes,4,0
120.0,Panola,4,1
138.0,Terry,4,0
5.0,Atascosa,4,0
159.0,Wood,4,0
77.0,Jackson,4,0
129.0,San Augustine,4,1
74.0,Hopkins,4,0
160.0,Young,3,0
117.0,Oldham,3,1
41.0,Eastland,3,0
54.0,Goliad,3,0
30.0,Comanche,3,0
107.0,Milam,3,0
158.0,Wise,3,0
28.0,Colorado,3,0
96.0,Live Oak,3,0
97.0,Llano,3,0
99.0,Lynn,3,0
82.0,Karnes,2,0
21.0,Camp,2,0
92.0,Lee,2,0
93.0,Leon,2,0
131.0,San Patricio,2,0
76.0,Hutchinson,2,0
126.0,Robertson,2,0
78.0,Jasper,2,0
100.0,Martin,2,0
142.0,Trinity,2,0
80.0,Jim Wells,2,0
119.0,Palo Pinto,2,0
47.0,Fannin,2,0
86.0,Kleberg,2,0
85.0,Kerr,2,0
139.0,Titus,2,0
32.0,Crane,2,0
91.0,Lavaca,2,0
90.0,Lampasas,2,0
143.0,Tyler,1,0
1.0,Anderson,1,0
135.0,Swisher,1,0
130.0,San Jacinto,1,0
4.0,Aransas,1,0
19.0,Callahan,1,0
26.0,Clay,1,0
33.0,Crosby,1,0
34.0,Dallam,1,0
46.0,Falls,1,0
50.0,Franklin,1,0
51.0,Gaines,1,0
53.0,Gillespie,1,0
55.0,Gonzales,1,0
62.0,Hamilton,1,0
63.0,Hansford,1,0
68.0,Hemphill,1,0
69.0,Henderson,1,0
75.0,Hunt,1,0
87.0,Knox,1,0
89.0,Lamb,1,0
101.0,Mason,1,0
108.0,Mitchell,1,0
109.0,Montague,1,0
112.0,Morris,1,0
115.0,Newton,1,0
122.0,Pecos,1,0
161.0,Zapata,1,0
